question	label
结核性胸膜炎能吃桃子吗	medical
有没有脂肪肝怎么查	medical
高血压要终身吃药吗	medical
痛风能喝奶吗	medical
发烧寒颤怎么办	medical
肌肉收缩性头痛怎么办？	medical
二型糖尿病能好么	medical
肱骨肿瘤切除及重建手术做完已经四个月胳膊	medical
儿童急性咽喉炎地塞米松能不能用	medical
感冒时头痛是什么原因	medical
经期前4天感冒了能吃感冒药吗？	medical
流鼻涕咳嗽可以打预防针吗？	medical
一着急就咳嗽是什么疾病	medical
传染性非典型肺炎怎么办	medical
晚上咳嗽厉害白天不怎么咳嗽怎么回事？	medical
肺部有巨大泡怎么治疗	medical
小孩过敏性咳嗽怎么治好？	medical
哮喘病人猝死的原因	medical
睡觉醒后爱咳嗽是什么原因	medical
请问小儿咳嗽呕吐怎么办	medical
怀孕初期宫腔内有积血怎么办？	medical
肝硬化和肝癌有哪些区别	medical
右肺中磨玻样小结节影是怎么了？	medical
两个月小孩感冒咳嗽鼻塞,怎么办?	medical
新生儿肺炎怎么办？为什么会这样？	medical
怀孕初期吃了咳嗽药有影响吗？	medical
新型冠状肺炎症状干咳？	medical
咳嗽可以吃大蒜吗？	medical
婴儿咳嗽，气喘怎么办	medical
肺气肿该如何治疗？要注意哪些？	medical
老年人肺炎如何治疗	medical
空调吹的感冒怎么办？	medical
宫外孕症状早期用试纸能试出来吗	medical
孕妇可以喝老鸭汤吗	medical
自然流产什么样？	medical
怀孕40多天一定会呕吐吗	medical
先兆流产怎么治才能根治	medical
四维彩超可以什么时候做	medical
怀孕晚期可以吃狗肉吗？	medical
怀孕做彩超用憋尿吗	medical
子宫内膜薄的原因有什么影响怀孕吗	medical
肚子饿了再吃东西能减肥?	medical
脑血栓为什么昏迷	medical
非萎缩性胃炎伴糜烂是什么症状	medical
肝硬化血管破裂出血是什么情况	medical
精索静脉曲张治疗的不好怎么办	medical
多囊一般多久可以治好？	medical
煮什么菜给怀孕中期的人吃	medical
糖尿病可以预防吗	medical
甲亢症状和治疗方法有哪些	medical
性感觉障碍的危害是什么	medical
请问痛风如何治疗效果好	medical
割包皮拆线后还需要忌口吗？	medical
高血压正常数值是多少	medical
三岁的时候被开水烫伤	medical
小西梅对身体有什么好处？	medical
为什么糖尿病人易得冠心病	medical
怎样才能降低血沉	medical
孕妇怀孕18周了，可以用杀虫剂吗	medical
左甲状腺素钠片会骨质疏松吗	medical
癫痫预防的综合措施是什么	medical
做一颗烤瓷牙要多久	medical
早产儿脑损伤严重程度如何区分	medical
外阴白斑中医能治疗好吗	medical
打乒乓球结束后心脏周围疼。	medical
脸大用什么方法可以瘦脸	medical
大豆和黄豆一起能祛黄褐斑吗	medical
平时吃玉米具有美容的效果吗？	medical
手足口病康复要几天	medical
有血压高的人又半个身体麻是怎么回事。	medical
高动力性休克皮肤表现	medical
颈椎有问题生理曲度变质椎间盘突出	medical
髋关节脱位宝宝会缩短吗	medical
后背上长了两个蚊子咬一样的包而且一阵一阵	medical
新生儿高钾血症怎么得的	medical
cp脑瘫是什么意思	medical
耳朵后面有小丁丁突出来是上火了吗	medical
遗传黄褐斑20年了能去掉吗	medical
胃胀胃痛恶心干呕是什么原因？	medical
非胰岛素依赖型糖尿病有什么办法缓解	medical
你好治疗直肠炎用什么药好些？	medical
一般不发展为肝硬化的肝炎有哪些	medical
放疗治疗有什么作用？	medical
癫痫病总是反复发作怎么弄	medical
弱视戴眼镜还看不清近处正常吗	medical
麻仁滋脾丸说明书	medical
玉屏风口服液副作用	medical
孕酮29是正常吗	medical
后背起不知道什么疙瘩	medical
一次可以解决痘印问题吗	medical
停经后会骨质疏松吗	medical
胸腔心包有积液怎么查不出来病因	medical
二型糖尿病发病症状有哪些	medical
隐形眼睛带不进去怎么办	medical
腰眼的疼痛是什么原因？	medical
手足口病姐妹病的症状	medical
您好:请问做试管婴儿大概需要多长时间?无	medical
弱精的危害有什么	medical
颈部淋巴结肿大，两侧对称肿大	medical
脑瘫瘫痪肌长力过高怎么治	medical
新生儿黄疸14.9严重吗	medical
吃海鲜会引起头痛么？	medical
鸡鸡尿口出发红也不疼不痒好多天了	medical
HPV高发期，和男性发生关系会怎么样？	medical
儿童打麻风腮疫苗应注意哪些饮食	medical
扩张型心肌病能自愈吗	medical
脑梗塞必须拔牙什么办	medical
有点贫血皮肤突然变白好多?	medical
血红蛋白偏低吃什么药好呢	medical
鼻子一侧出血是什么病	medical
原发性血小板增多症需要注意什么	medical
归脾汤能不能治缺铁性贫血？	medical
手臂血管长几个硬东西是什么原因引起的	medical
黄好凝血酶142是什么问题	medical
白细胞18会是白血病吗？	medical
血管与神经有关系吗	medical
哪些蔬菜益肾炎	medical
真性红细胞增多症怎样确症	medical
血友病不能做什么	medical
怎么观察癫痫病药物有没有副作用产生	medical
膝关节骨性关节炎治好吗	medical
阴道分泌物减少月经周期延长	medical
糖尿病不打胰岛素为什么针眼还疼而且便密	medical
什么花茶对肾盂肾炎好	medical
总胆红素偏高不能吃什么菜	medical
酵素可以祛痘吗	medical
激光是如何去除痘印的	medical
激光祛痘靠谱吗	medical
激光去痘印恢复需要多长时间	medical
鼻子下面有个白色痘痘可以去掉吗	medical
闭合性粉刺要怎么处理呀，怎么办？	medical
鼻子和嘴巴还有下巴周围长很多痘痘	medical
皮肤暗淡无光还有暗疮痘印	medical
哪里祛痘印好	medical
祛痘效果好吗	medical
做激光去痘印哪家做的好	medical
癫痫患者夏季该如何避暑呢	medical
伤口愈合后感觉里面有浓液	medical
典型预激综合征好治吗	medical
正颌手术后会骨不连吗	medical
慢性肾炎脚肿肌肝260怎么办	medical
胃恶性淋巴瘤晚期头晕厉害怎么办	medical
怎么防止脱发怎么处理	medical
矮小症这么治疗方法	medical
1岁宝宝可以查出矮小症么	medical
八个月矮小症早期症状	medical
什么检查能确诊是不是矮小症	medical
五岁半的女孩身高105厘米是矮小症吗	medical
目前治疗矮小症有哪些方法	medical
矮小症能能生孩子吗	medical
希尔安八正合剂多少钱	medical
得矮小症怎么治疗	medical
牙神经炎怎么治疗快	medical
游泳对患心肌桥的人适合吗	medical
牙齿美白有什么好方法么	medical
孩子得了多动症好治疗吗	medical
甲减患病一年，吃药治疗，一年复查变成甲亢	medical
利普刀锥切术后珍断HPⅴ病毒	medical
黄体萎缩不全怎么调理	medical
癫痫大发作持续昏迷状态怎么办	medical
痛风必做的检查有哪些	medical
激光祛痘有害么	medical
耳朵听力下降了几年了，没发炎没头疼。	medical
医生你好,坐月子炖的公鸡汤因为不知道该什	medical
丙肝病人饮食应该注意什么？	medical
胎儿保住了，那孕康口服液一般喝多久？	medical
胃炎与急性结肠炎有关吗	medical
髌骨下极骨折可以吃李子吗	medical
胃炎不能吃什么食物好得快	medical
酒喝多了吐了胃难受怎么办？	medical
慢性胃炎能吃花蛤吗	medical
口干口苦有异味儿还便秘怎么办	medical
如何有效缓解肠绞痛	medical
便秘吃姜有用吗？	medical
萎缩性胃炎伴糜烂会发生癌变么	medical
早期肝硬化可以控制吗	medical
糜烂性胃炎的最佳治疗方法是什么	medical
吃掉精液会怀孕么	medical
前列腺增生应该如何预防?	medical
甲肝治疗周期要多久时间？	medical
生活中癫痫有哪些护理方法	medical
如果感觉痛风快发作了该怎么办??	medical
老人吃葱有哪些好处？	medical
神经纤维瘤与弹性纤维瘤区别	medical
眼部ct能查眼部神经吗？	medical
慢性肾炎属于什么的炎症	medical
轻微脑瘫人爱激动吃什么药	medical
看检查结果，这是什么病？	medical
郁金银屑片说明书西安	medical
宝宝心包积液会是心脏病吗	medical
给小三阳病人打留置针的时候被扎了，出血了	medical
大拇指被人咬伤，需要注射狂犬疫苗吗？	medical
怎样轻松瘦肚子	medical
克比热提片能治霉菌	medical
半夜突然心脏骤停惊醒是怎么回事	medical
顽固性高血压与肾上腺肿物有什么关系	medical
引起儿童继发性高血压的常见原因有哪些	medical
高血脂患者可以服用海螵蛸吗	medical
心肌桥能吃保健品吗	medical
晚上睡觉时半夜心疼的醒来了是怎么回事	medical
心脏神经官能症会导致咳嗽吗	medical
心脏主动脉瓣关闭不全会瘦吗	medical
室间隔缺损可以办病退吗	medical
有室间隔缺损能坐飞机吗	medical
发烧对室间隔缺损有影响吗	medical
高血压能吃莲藕吗	medical
桥本氏甲减如何注意饮食	medical
